TITLE="privet"
VARIABLES="x", "y", "z"
ZONE T="zone", I=100, J=100, F=POINT
5.78053 -6.03186 1.1102e-016
5.9062 -6.03186 5.3272e-017
6.03186 -6.03186 2.51616e-017
6.15753 -6.03186 1.16982e-017
-6.28319 -5.90619 1.13348e-017
-6.15752 -5.90619 2.4768e-017
-6.03186 -5.90619 5.32732e-017
-5.90619 -5.90619 1.1279e-016
-5.78053 -5.90619 2.35056e-016
-5.65487 -5.90619 4.82187e-016
-5.5292 -5.90619 9.73646e-016
-5.40354 -5.90619 1.93521e-015
-5.27788 -5.90619 3.78615e-015
-5.15221 -5.90619 7.29138e-015
-5.02655 -5.90619 1.38217e-014
-4.90088 -5.90619 2.57904e-014
-4.77522 -5.90619 4.73691e-014
-4.64956 -5.90619 8.56394e-014
-4.52389 -5.90619 1.52403e-013
-4.39823 -5.90619 2.66967e-013
-4.27257 -5.90619 4.60323e-013
-4.1469 -5.90619 7.81284e-013
-4.02124 -5.90619 1.30526e-012
-3.89557 -5.90619 2.14648e-012
-3.76991 -5.90619 3.47456e-012
-3.64425 -5.90619 5.53623e-012
-3.51858 -5.90619 8.683e-012
-3.39292 -5.90619 1.3405e-011
-3.26726 -5.90619 2.03708e-011
-3.14159 -5.90619 3.04712e-011
-3.01593 -5.90619 4.48655e-011
-2.89026 -5.90619 6.50246e-011
-2.7646 -5.90619 9.27652e-011
-2.63894 -5.90619 1.30267e-010
-2.51327 -5.90619 1.80064e-010
-2.38761 -5.90619 2.44996e-010
-2.26195 -5.90619 3.28121e-010
-2.13628 -5.90619 4.32564e-010
-2.01062 -5.90619 5.61318e-010
-1.88495 -5.90619 7.16984e-010
-1.75929 -5.90619 9.01472e-010
-1.63363 -5.90619 1.11567e-009
-1.50796 -5.90619 1.35914e-009
-1.3823 -5.90619 1.62979e-009
-1.25664 -5.90619 1.92371e-009
-1.13097 -5.90619 2.23508e-009
-1.00531 -5.90619 2.55615e-009
-0.879644 -5.90619 2.87754e-009
-0.75398 -5.90619 3.1886e-009
-0.628317 -5.90619 3.47792e-009
-0.502653 -5.90619 3.73405e-009
-0.376989 -5.90619 3.94624e-009
-0.251325 -5.90619 4.10515e-009
-0.125662 -5.90619 4.20355e-009
1.93715e-006 -5.90619 4.23687e-009
0.125666 -5.90619 4.20355e-009
0.251329 -5.90619 4.10515e-009
0.376993 -5.90619 3.94624e-009
0.502657 -5.90619 3.73405e-009
0.62832 -5.90619 3.47791e-009
0.753984 -5.90619 3.18859e-009
0.879648 -5.90619 2.87754e-009
1.00531 -5.90619 2.55614e-009
1.13098 -5.90619 2.23507e-009
1.25664 -5.90619 1.92371e-009
1.3823 -5.90619 1.62978e-009
1.50797 -5.90619 1.35913e-009
1.63363 -5.90619 1.11566e-009
1.75929 -5.90619 9.01465e-010
1.88496 -5.90619 7.16979e-010
2.01062 -5.90619 5.61314e-010
2.13629 -5.90619 4.3256e-010
2.26195 -5.90619 3.28118e-010
2.38761 -5.90619 2.44994e-010
2.51328 -5.90619 1.80062e-010
2.63894 -5.90619 1.30266e-010
2.7646 -5.90619 9.27643e-011
2.89027 -5.90619 6.50239e-011
3.01593 -5.90619 4.4865e-011
3.1416 -5.90619 3.04708e-011
3.26726 -5.90619 2.03705e-011
3.39292 -5.90619 1.34049e-011
3.51859 -5.90619 8.68288e-012
3.64425 -5.90619 5.53615e-012
3.76991 -5.90619 3.47451e-012
3.89558 -5.90619 2.14645e-012
4.02124 -5.90619 1.30524e-012
4.14691 -5.90619 7.81271e-013
4.27257 -5.90619 4.60315e-013
4.39823 -5.90619 2.66962e-013
4.5239 -5.90619 1.52401e-013
4.64956 -5.90619 8.5638e-014
4.77522 -5.90619 4.73682e-014
4.90089 -5.90619 2.57899e-014
5.02655 -5.90619 1.38215e-014
5.15222 -5.90619 7.29123e-015
5.27788 -5.90619 3.78608e-015
5.40354 -5.90619 1.93517e-015
5.52921 -5.90619 9.73626e-016
5.65487 -5.90619 4.82176e-016
5.78053 -5.90619 2.35051e-016
5.9062 -5.90619 1.12787e-016
6.03186 -5.90619 5.3272e-017
6.15753 -5.90619 2.47675e-017
-6.28319 -5.78053 2.3622e-017
-6.15752 -5.78053 5.16171e-017
-6.03186 -5.78053 1.11022e-016
-5.90619 -5.78053 2.35056e-016
-5.78053 -5.78053 4.89862e-016
-5.65487 -5.78053 1.00489e-015
-5.5292 -5.78053 2.0291e-015
-5.40354 -5.78053 4.03302e-015
-5.27788 -5.78053 7.89042e-015
-5.15221 -5.78053 1.51954e-014
-5.02655 -5.78053 2.88048e-014
-4.90088 -5.78053 5.37477e-014
-4.77522 -5.78053 9.87181e-014
-4.64956 -5.78053 1.78474e-013
-4.52389 -5.78053 3.17612e-013
-4.39823 -5.78053 5.56365e-013
-4.27257 -5.78053 9.59322e-013
-4.1469 -5.78053 1.62821e-012
-4.02124 -5.78053 2.72019e-012
-3.89557 -5.78053 4.47331e-012
-3.76991 -5.78053 7.24105e-012
-3.64425 -5.78053 1.15376e-011
-3.51858 -5.78053 1.80955e-011
-3.39292 -5.78053 2.79363e-011
-3.26726 -5.78053 4.24531e-011
-3.14159 -5.78053 6.35025e-011
